Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Celtis australis,5,1.5,4,12.6,20.5,15.6
Celtis australis,5,1.5,4,12.6,16.2,17.5
Celtis australis,3.5,1,4,12.6,13.7,12
Quercus,10,3,4,12.6,25.8,181.3
Celtis australis,4,1.2,4,12.6,17.8,13.7
Platanus x acerifolia 'Bloodgood',8,2.4,8.5,56.7,157.5,83.40000000000001
Prunus cerasifera,10,3,2,3.1,10.4,308.7
Prunus cerasifera,8,2.4,2,3.1,7.6,260.9
Tilia x europaea,20,6,12,113.1,692.4,7138.6
Tilia x europaea,20,6,10,78.5,540.4,3987.3
Morus nigra,5,1.5,8,50.3,113.8,50.2
Morus nigra,5,1.5,8,50.3,117.9,63.9
Morus nigra,5,1.5,8,50.3,111.1,63.9
Morus nigra,5,1.5,6,28.3,53.2,44
Morus nigra,5,1.5,8,50.3,106.1,71.5
Morus nigra,5,1.5,7,38.5,60.7,44
Morus nigra,5,1.5,8,50.3,105.2,44
Morus nigra,5,1.5,8,50.3,90.7,10.6
Morus nigra,4,1.2,8,50.3,108.1,44
Morus nigra,4.5,1.4,6,28.3,45.4,63.9
Morus nigra,5,1.5,8,50.3,109.2,56.8
Morus nigra,4,1.2,5,19.6,24,33.1
Morus nigra,5,1.5,9,63.6,146,128
Morus nigra,5,1.5,8,50.3,117.9,63.9
Morus nigra,5,1.5,6,28.3,45.2,33.1
Morus nigra,5,1.5,8,50.3,117.9,63.9
Picea abies,15,4.5,5,19.6,84.3,467
Picea abies,16,4.8,6,28.3,107.1,544.6
Morus nigra,3,0.9,2,3.1,4.5,13.4
Morus nigra,3,0.9,2,3.1,3.9,13.4
Morus nigra,3,0.9,1,0.8,2.1,6.2
Cedrus atlantica,20,6,14,153.9,345.2,1389.2
Lagerstroemia,20,6,5,19.6,61.3,551.2
Liquidambar styraciflua,6,1.8,3,7.1,11.5,24.6
Populus nigra,11,3.3,10,78.5,293.4,2322.6
Populus nigra,25,7.5,8,50.3,347.5,2283.8
Robinia pseudoacacia,10,3,5,19.6,34.9,153.3
Robinia pseudoacacia,9,2.7,4,12.6,20.9,153.3
Robinia pseudoacacia,10,3,5,19.6,32.1,53.9
Robinia pseudoacacia,8,2.4,4,12.6,22,128.3
Robinia pseudoacacia,7,2.1,4,12.6,24.1,153.3
Robinia pseudoacacia,7,2.1,4,12.6,19.4,53.9
Robinia pseudoacacia,10,3,7,38.5,68.90000000000001,86.3
Robinia pseudoacacia,12,3.6,6,28.3,69.5,568.9
Robinia pseudoacacia,10,3,15,176.7,329.7,219
Robinia pseudoacacia,12,3.6,6,28.3,66.09999999999999,153.3
Tilia platyphyllos,6,1.8,3,7.1,16.9,60
Ulmus pumila,16,4.8,12,113.1,502.3,1737.9
Ulmus pumila,21,6.3,9,63.6,272.1,974.6
Ulmus pumila,21,6.3,11,95,462.9,1200.7
Ulmus pumila,23,6.9,13,132.7,538,2394.1
Fraxinus excelsior,9,2.7,8,50.3,168.3,213.5
Malus,6,1.8,6,28.3,47.2,69.90000000000001
Ulmus pumila,23,6.9,18,254.5,645,2394.1
Celtis australis,14,4.2,4,12.6,65.40000000000001,308
Celtis australis,14,4.2,6,28.3,124.2,188.2
Magnolia x soulangeana,6,1.8,12,113.1,224.4,82.3
Pinus nigra,12,3.6,3,7.1,29.1,151.1
Celtis australis,15,4.5,8,50.3,251,245.1
Celtis australis,15,4.5,9,63.6,251.8,215.8
Celtis australis,18,5.4,11,95,514,341.7
Celtis australis,16,4.8,10,78.5,351.9,115
Celtis australis,15,4.5,15,176.7,427.1,115
Celtis australis,18,5.4,9,63.6,343.1,188.2
Metasequoia glyptostroboides,25,7.5,6,28.3,184.3,363.8
Picea abies,10,3,4,12.6,23.3,50.3
Populus nigra,25,7.5,5,19.6,144.7,1037.1
Populus nigra,20,6,6,28.3,137.2,1037.1
Robinia pseudoacacia,12,3.6,2,3.1,7.8,53.9
Robinia pseudoacacia,8,2.4,2,3.1,4.5,3.3
Salix,20,6,3,7.1,26.1,34.8
Salix,20,6,3,7.1,20.1,34.8
Salix,20,6,3,7.1,21.6,34.8
Salix,20,6,3,7.1,24.6,34.8
Taxodium distichum,10,3,3,7.1,18.3,144.8
Taxodium distichum,10,3,3,7.1,19.5,144.8
Fagus sylvatica,14,4.2,4,12.6,42.1,208.9
Juglans regia,28,8.4,5,19.6,140.3,571.1
Juglans regia,30,9,4,12.6,130.2,891.4
Prunus avium,8,2.4,4,12.6,25.4,198
Prunus avium,16,4.8,4,12.6,52.5,1070.8
Acer campestre,15,4.5,3,7.1,24.6,291.9
Acer campestre,6,1.8,3,7.1,13.7,53.4
Acer campestre,6,1.8,4,12.6,25.6,100.4
Carpinus betulus,8,2.4,4,12.6,37.5,115.2
Carpinus betulus,15,4.5,4,12.6,69.8,406.9
Carpinus betulus,8,2.4,4,12.6,28.9,115.2
Celtis australis,25,7.5,4,12.6,84,74.8
Aesculus hippocastanum,6,1.8,4,12.6,29.5,71.09999999999999
Aesculus hippocastanum,6,1.8,4,12.6,30.7,91.40000000000001
Aesculus hippocastanum,14,4.2,10,78.5,451,1704.3
Aesculus hippocastanum,12,3.6,6,28.3,91.3,51.4
Aesculus hippocastanum,5,1.5,2,3.1,8.6,45.3
Ilex,3.5,1,1.5,1.8,2.5,16.8
Ilex,5,1.5,1.5,1.8,3,17.4
Platanus occidentalis,18,5.4,12,113.1,350.2,418.8
Quercus rubra,4,1.2,1.5,1.8,3.1,7.4
Quercus rubra,4,1.2,1.5,1.8,3.6,7.4
Tilia x europaea,5,1.5,2.5,4.9,6.9,21.1
Quercus robur,4,1.2,2,3.1,4.6,33.2
Platanus x acerifolia 'Bloodgood',6,1.8,7,38.5,80.3,83.40000000000001
Platanus x acerifolia 'Bloodgood',5,1.5,4,12.6,19.3,53.6
Robinia pseudoacacia,10,3,2,3.1,5.8,14.2
Tilia x europaea,8,2.4,6,28.3,64.59999999999999,142.9
Quercus robur,6,1.8,5,19.6,30,72
Quercus robur,6,1.8,6,28.3,43.7,102.7
Robinia pseudoacacia,10,3,2,3.1,5.4,14.2
Liquidambar styraciflua,7,2.1,6,28.3,56.5,20.9
Cedrus deodara,28,8.4,16,201.1,606,3407.2
Cedrus deodara,26,7.8,14,153.9,429.5,4717.2
Cedrus deodara,24,7.2,13,132.7,373.6,2887.4
Cedrus deodara,19,5.7,10,78.5,395.9,2466.1
Morus nigra,5,1.5,5,19.6,28.4,28.3
Morus nigra,3,0.9,2,3.1,4.6,6.2
Morus nigra,3,0.9,2,3.1,4.6,6.2
Morus nigra,3,0.9,2,3.1,4.3,6.2
Morus nigra,3,0.9,2,3.1,4.8,13.4
Ulmus minor,4,1.2,5,19.6,43.7,2223.6
Morus nigra,3,0.9,2,3.1,5.1,13.4
Morus nigra,2,0.6,2,3.1,5.1,13.4
Morus nigra,2,0.6,2,3.1,4.8,13.4
Morus nigra,3,0.9,2,3.1,4.6,6.2
Ulmus pumila,6,1.8,5,19.6,59.6,1454.9
Morus nigra,3,0.9,2,3.1,3.8,6.2
Morus nigra,4,1.2,5,19.6,31.1,33.1
Morus nigra,3,0.9,2,3.1,3.8,6.2
Pinus strobus,10,3,4,12.6,26.4,18.9
Pinus strobus,11,3.3,4,12.6,31.8,43.9
Betula pendula,11,3.3,4,12.6,27.7,154.3
Liquidambar styraciflua,8,2.4,5,19.6,40.7,43.7
Liquidambar styraciflua,7,2.1,4,12.6,23,20.9
Liquidambar styraciflua,7,2.1,4,12.6,25.6,43.7
Liquidambar styraciflua,8,2.4,4,12.6,28.8,43.7
Liquidambar styraciflua,6,1.8,4,12.6,21.1,17.4
Liquidambar styraciflua,8,2.4,5,19.6,45.1,38.4
Liquidambar styraciflua,6,1.8,3.5,9.6,13.7,20.9
Ulmus,12,3.6,12,113.1,360.6,4983.9
Acer rubrum,4,1.2,6,28.3,48.8,44.3
Carpinus betulus,3,0.9,2,3.1,4.4,3.1
Fagus sylvatica,12,3.6,12,113.1,421.7,3086.1
Fraxinus excelsior,10,3,8,50.3,196.4,217.3
Fraxinus excelsior,10,3,8,50.3,160.8,63
Fraxinus angustifolia ssp. Oxycarpa,7,2.1,3,7.1,14.4,57.1
Aesculus hippocastanum,12,3.6,10,78.5,372,887
Fagus sylvatica,10,3,11,95,255.9,457.6
Fagus sylvatica,14,4.2,14,153.9,379.2,1599.6
Fagus sylvatica,14,4.2,14,153.9,464.1,1599.6
Prunus avium,7,2.1,8,50.3,104,449.3
Prunus cerasifera,8,2.4,3,7.1,11.6,16.5
Tilia,8,2.4,6,28.3,78.09999999999999,142.9
Tilia x europaea,6,1.8,4,12.6,19.1,54.9
Carpinus betulus,20,6,4,12.6,101,1426.2
Carpinus betulus,18,5.4,4,12.6,77.59999999999999,553.6
Carpinus betulus,25,7.5,4,12.6,162.9,2050.8
Carpinus betulus,8,2.4,2,3.1,8.300000000000001,26.5
Carpinus betulus,8,2.4,2,3.1,9.5,26.5
Carpinus betulus,8,2.4,2,3.1,9.5,26.5
Carpinus betulus,8,2.4,2,3.1,8.9,26.5
Carpinus betulus,8,2.4,2,3.1,10.1,26.5
Carpinus betulus,7,2.1,1.5,1.8,4.4,9.9
Cercis siliquastrum,4,1.2,2,3.1,2.6,1.9
Cercis siliquastrum,3,0.9,2,3.1,4.4,19.1
Cercis siliquastrum,4,1.2,2,3.1,3.6,4.3
Robinia pseudoacacia,8,2.4,2,3.1,3.7,3.3
Robinia pseudoacacia,8,2.4,2,3.1,4.2,3.3
Robinia pseudoacacia,8,2.4,2,3.1,4.8,3.3
Robinia pseudoacacia,8,2.4,2,3.1,4.5,3.3
Robinia pseudoacacia,8,2.4,2,3.1,4.8,3.3
Robinia pseudoacacia,22,6.6,3,7.1,38,180.9
Robinia pseudoacacia,12,3.6,2,3.1,8.699999999999999,21.3
Robinia pseudoacacia,8,2.4,1.5,1.8,2.7,3.3
Robinia pseudoacacia,12,3.6,2,3.1,8.699999999999999,21.3
Celtis australis,20,6,4,12.6,75.09999999999999,188.2
Robinia pseudoacacia,20,6,4,12.6,55.3,211.4
Robinia pseudoacacia,8,2.4,2,3.1,4.5,3.3
Robinia pseudoacacia,8,2.4,2,3.1,4.8,3.3
Robinia pseudoacacia,8,2.4,2,3.1,4.8,3.3
Sambucus nigra,5,1.5,4,12.6,13.7,9.199999999999999
Sambucus nigra,5,1.5,4,12.6,13.7,9.199999999999999
Sambucus nigra,5,1.5,4,12.6,13.7,9.199999999999999
Sambucus nigra,5,1.5,4,12.6,10.5,9.199999999999999
Acer negundo,15,4.5,4,12.6,46.4,159.4
Acer platanoides,10,3,4,12.6,34.4,110.8
Celtis australis,20,6,4,12.6,55.2,42
Acer campestre,5,1.5,3,7.1,10.9,97.7
Aesculus hippocastanum,20,6,5,19.6,93,279.5
Alnus glutinosa,16,4.8,5,19.6,103.1,191.6
Alnus glutinosa,16,4.8,5,19.6,97.09999999999999,191.6
Aesculus hippocastanum,8,2.4,4,12.6,39.9,248.3
Aesculus hippocastanum,6,1.8,4,12.6,33.2,156.1
Aesculus hippocastanum,12,3.6,10,78.5,453.5,1500.4
Aesculus hippocastanum,12,3.6,8,50.3,218.4,1384.6
Aesculus hippocastanum,7,2.1,4,12.6,26,72.40000000000001
Aesculus hippocastanum,8,2.4,6,28.3,83.59999999999999,210.3
Aesculus hippocastanum,10,3,6,28.3,115.5,448.4
Aesculus hippocastanum,8,2.4,6,28.3,107.2,498.7
Aesculus hippocastanum,9,2.7,6,28.3,117,670.6
Aesculus hippocastanum,12,3.6,8,50.3,230.6,2021.6
Aesculus hippocastanum,12,3.6,8,50.3,283.5,1384.6
Aesculus hippocastanum,9,2.7,8,50.3,213.5,867.7
Aesculus hippocastanum,14,4.2,8,50.3,334.9,2836.8
Aesculus hippocastanum,6,1.8,6,28.3,83.2,242.6
Aesculus hippocastanum,12,3.6,5,19.6,82.2,516.5
Aesculus hippocastanum,8,2.4,7,38.5,168.4,861.1
Aesculus hippocastanum,7,2.1,4,12.6,37.4,356.8
Aesculus hippocastanum,8,2.4,4,12.6,41.7,498.7
Aesculus hippocastanum,8,2.4,2,3.1,11.3,160.3
Aesculus hippocastanum,8,2.4,8,50.3,220.4,1349.3
Aesculus hippocastanum,6,1.8,4,12.6,34.5,205.2
Aesculus hippocastanum,5,1.5,3,7.1,16.2,153.9
Ilex,5,1.5,1.5,1.8,3,17.4
Ilex,5,1.5,1.5,1.8,2.3,17.4
Ilex,5,1.5,1.5,1.8,3,17.4
Ilex,5,1.5,1.5,1.8,2.6,17.4
Ilex,6,1.8,1.5,1.8,2.7,17.7
Ilex,5,1.5,1.5,1.8,2.3,17.4
Ilex,5,1.5,1.5,1.8,2.6,17.4
Platanus x acerifolia 'Bloodgood',7,2.1,6,28.3,69.3,136.1
Platanus x acerifolia 'Bloodgood',7,2.1,5,19.6,39.4,121.4
Platanus x acerifolia 'Bloodgood',7,2.1,2,3.1,7.2,72.59999999999999
Platanus x acerifolia 'Bloodgood',7,2.1,6,28.3,70.3,151.7
Platanus x acerifolia 'Bloodgood',6,1.8,5,19.6,41.4,107.8
Platanus x acerifolia 'Bloodgood',7,2.1,6,28.3,71.40000000000001,168.4
Platanus x acerifolia 'Bloodgood',7,2.1,6,28.3,58.2,151.7
Prunus,3.5,1,2,3.1,4.9,14.7
Magnolia kobus,3.5,1,1,0.8,1.9,3.6
Ulmus,12.4,3.7,8.800000000000001,60.3,242.7,2011.2
Ulmus,12.4,3.7,8.800000000000001,60.3,242.7,2011.2
Ulmus,12,3.6,10,78.5,270.1,752.8
Fagus sylvatica,12,3.6,4,12.6,35.2,319.5
Fagus sylvatica,12,3.6,8,50.3,183.6,1599.6
Fagus sylvatica,6,1.8,3,7.1,9.800000000000001,10.8
Fagus sylvatica,12,3.6,7,38.5,142.6,624.5
Fagus sylvatica,15,4.5,8,50.3,229.2,1049.2
Fagus sylvatica,18,5.4,8,50.3,223,1599.6
Fagus sylvatica,18,5.4,11,95,339.4,1599.6
Juglans regia,10,3,14,153.9,358.4,330.8
Quercus rubra,10,3,12,113.1,340.4,368.1
Ulmus,22,6.6,20,314.2,867.6,4433.4
Ulmus,20,6,13,132.7,460.2,3218.4
Ulmus,18,5.4,12,113.1,414.4,1804.7
Crataegus monogyna,3.5,1,2,3.1,5,16.9
Crataegus monogyna,5,1.5,4,12.6,20.2,21.9
Pyrus communis,6,1.8,1.5,1.8,3.6,37.4
Prunus cerasifera,6,1.8,1.5,1.8,4.8,40.3
Cercis siliquastrum,4,1.2,2.5,4.9,5.6,12.7
Cercis siliquastrum,4,1.2,2.5,4.9,5.6,12.7
Cercis siliquastrum,4,1.2,3.5,9.6,9.199999999999999,12.7
Tilia cordata,6,1.8,3,7.1,15.1,27.9
Acer negundo,7,2.1,5,19.6,45.3,124.4
Fagus sylvatica,3.5,1,0.5,0.2,0.6,2.8
Tilia cordata,5,1.5,3,7.1,12.8,15
Betula pendula,14.5,4.4,6,28.3,80.59999999999999,392
Acer saccharinum,16,4.8,7,38.5,135.4,463.2
Acer saccharinum,16,4.8,5,19.6,91.40000000000001,528.9
Tilia cordata,4,1.2,2.5,4.9,7.9,6.5
Tilia cordata,4,1.2,2,3.1,5.1,8.9
Tilia cordata,3.5,1,2.5,4.9,8.699999999999999,15
Tilia cordata,6,1.8,3,7.1,12.6,18.8
Tilia cordata,5,1.5,2,3.1,5.5,8.9
Tilia cordata,3,0.9,1,0.8,2.6,6.5
Tilia cordata,6,1.8,4,12.6,19.1,23.1
Fagus sylvatica,3.5,1,1,0.8,1.9,2.8
Fagus sylvatica,4.5,1.3,1,0.8,2.5,7.5
Fagus sylvatica,3.5,1,1,0.8,2,2.8
Cupressus sempervirens,6,1.8,1,0.8,3.2,33.9
Tilia cordata,7,2.1,6,28.3,76.2,68.2
Tilia cordata,8,2.4,8,50.3,148.7,142.8
Tilia cordata,7,2.1,7,38.5,115.5,86.3
Tilia cordata,8,2.4,7,38.5,94.09999999999999,96.3
Platanus x hispanica,10,3,11,95,264.9,341.8
Tilia x europaea,6,1.8,3,7.1,13,142.9
Carpinus betulus,6,1.8,4,12.6,22,45.5
Carpinus betulus,6,1.8,4,12.6,25.3,45.5
Carpinus betulus,6,1.8,5,19.6,46.2,45.5
Carpinus betulus,3.5,1,1,0.8,2.9,17
Carpinus betulus,6,1.8,5,19.6,44.7,53.2
Carpinus betulus,6,1.8,4,12.6,26.9,32.2
Tilia x europaea,6,1.8,3.5,9.6,18.6,162.3
Tilia x europaea,8,2.4,6.5,33.2,85.40000000000001,254.7
Quercus,11,3.3,8,50.3,207.8,1197.6
Quercus,9,2.7,4,12.6,32.5,323.2
Tilia x europaea,11,3.3,10,78.5,299.4,832.2
Tilia platyphyllos,6,1.8,6,28.3,72.59999999999999,68.2
Tilia x europaea,6,1.8,4,12.6,22,142.9
Celtis australis,13,3.9,13,132.7,481.2,147.3
Celtis australis,6,1.8,4,12.6,20.1,26.3
Celtis australis,6,1.8,4,12.6,20.5,28.7
Celtis australis,5,1.5,3,7.1,12,15.6
Celtis australis,6,1.8,4,12.6,22.5,44.9
Quercus robur,5,1.5,6,28.3,44.2,72
Acer pseudoplatanus,9,2.7,8,50.3,130.6,172.7
Celtis australis,13,3.9,13,132.7,428.5,210.2
Acer pseudoplatanus,12,3.6,8,50.3,155.3,456.9
Acer campestre,5,1.5,4,12.6,20.7,37.8
Acer pseudoplatanus,9,2.7,3,7.1,15.5,35.4
Cupressus sempervirens,14,4.2,1.5,1.8,11.3,104
Cupressus sempervirens,10,3,1.5,1.8,6.8,34.3
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,317.9,3022.7
Acer saccharinum,14,4.2,4,12.6,37.5,111
Acer negundo,10,3,14,153.9,359.4,285
Acer negundo,8,2.4,12,113.1,387.9,293.3
Acer negundo,12,3.6,14,153.9,453.7,630.2
Acer negundo,12,3.6,10,78.5,297.3,421.3
Acer negundo,12,3.6,11,95,251.2,193
Acer negundo,12,3.6,12,113.1,383.5,852.5
Acer negundo,5,1.5,4,12.6,17.9,48.1
Acer negundo,8,2.4,6,28.3,73.7,139.2
Acer campestre,5,1.5,2,3.1,4.5,9.800000000000001
Acer campestre,4,1.2,2,3.1,4.4,20.4
Acer negundo,10,3,7,38.5,117.5,158.2
Acer negundo,10,3,7,38.5,111.9,249.4
Acer negundo,10,3,7,38.5,119,171.8
Acer negundo,10,3,6,28.3,75.2,132.8
Acer campestre,6,1.8,6,28.3,53.1,45.9
Acer negundo,7,2.1,5,19.6,38.4,44.4
Acer negundo,7,2.1,5,19.6,36.5,32.6
Acer rubrum,5,1.5,4,12.6,19.5,80.7
Acer saccharinum,16,4.8,7,38.5,171.6,413.5
Acer saccharinum,17,5.1,4,12.6,50,409.8
Acer saccharinum,15,4.5,7,38.5,111.1,205.2
Acer saccharinum,14,4.2,8,50.3,189.6,294
Acer negundo,11,3.3,6,28.3,85.3,328.8
Acer negundo,7,2.1,8,50.3,105.8,102.7
Acer negundo,6,1.8,7,38.5,79.3,171.2
Acer saccharinum,16,4.8,6,28.3,98.3,456.8
Acer saccharinum,13,3.9,6,28.3,75.2,146.4
Acer saccharinum,16,4.8,10,78.5,331.2,508.8
Acer saccharinum,12,3.6,6,28.3,76.7,136.8
Acer monspessulanum,4.3,1.3,3.6,10.1,17.3,121
Fraxinus excelsior,5,1.5,12,113.1,344.2,79.40000000000001
Acer campestre,5.2,1.6,3.4,9.1,16.3,52.9
Acer campestre,5.2,1.6,3.4,9.1,13.5,52.9
Celtis australis,8.300000000000001,2.5,6.7,35.2,85.09999999999999,57.6
Fagus sylvatica,8,2.4,8,50.3,122.2,74.09999999999999
Fagus sylvatica,10,3,4,12.6,25,74.09999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,33.4,92.59999999999999
Pinus nigra,10.7,3.2,5.3,22.1,79.7,179.6
Pinus nigra,10.7,3.2,5.3,22.1,79.7,179.6
Acer platanoides,12,3.6,10,78.5,349.9,413.7
Acer platanoides,12,3.6,9,63.6,273.2,319.7
Aesculus hippocastanum,22,6.6,20,314.2,1200.3,2514.8
Acer negundo,12,3.6,16,201.1,573.5,689.9
Acer pseudoplatanus,10,3,9,63.6,230,415.2
Acer pseudoplatanus,9,2.7,7,38.5,126.5,320.4
Acer pseudoplatanus,11,3.3,9,63.6,266.9,630
Acer campestre,5.2,1.6,3.4,9.1,16.3,52.9
Celtis australis,8.300000000000001,2.5,6.7,35.2,96.90000000000001,57.6
Cercis siliquastrum,4.5,1.3,3.3,8.5,11.1,74.59999999999999
Cercis siliquastrum,4.5,1.3,3.3,8.5,12.5,74.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Acer campestre,5.2,1.6,3.4,9.1,12.6,52.9
Acer campestre,5.2,1.6,3.4,9.1,16.3,52.9
Acer campestre,5.2,1.6,3.4,9.1,13.5,52.9
Carpinus betulus,4,1.2,2,3.1,6.2,13.2
Carpinus betulus,4,1.2,3,7.1,11.2,13.2
Carpinus betulus,8,2.4,6,28.3,78.2,45.5
Celtis australis,8.300000000000001,2.5,6.7,35.2,91,57.6
Carpinus betulus,20,6,4,12.6,101,1426.2
Cercis siliquastrum,4,1.2,2,3.1,3.4,4.3
Cercis siliquastrum,3,0.9,2,3.1,3.4,19.1
Cercis siliquastrum,4,1.2,2,3.1,3.2,1.9
Acer platanoides,10,3,8,50.3,134.2,136.1
Acer campestre,7,2.1,5,19.6,37.2,81.8
Fagus sylvatica,8,2.4,3.5,9.6,20.7,110.4
Fagus sylvatica,8,2.4,3,7.1,17.8,228.9
Fagus sylvatica,7,2.1,3,7.1,14.9,110.4
Fagus sylvatica,8,2.4,7,38.5,79.59999999999999,38
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,263.1,3016.3
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,281.4,3018.4
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,263.1,3016.3
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,317.9,3022.7
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,317.9,3022.7
Celtis australis,8.300000000000001,2.5,6.7,35.2,91,57.6
Celtis australis,8.300000000000001,2.5,6.7,35.2,102.8,57.6
Fraxinus ornus,6.7,2,4.9,19.2,31.1,92.59999999999999
Acer campestre,5.2,1.6,3.4,9.1,12.6,52.9
Fraxinus ornus,6.7,2,4.9,19.2,31.1,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,33.4,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,33.4,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,33.4,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,33.4,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Acer campestre,5.2,1.6,3.4,9.1,14.4,52.9
Acer campestre,5.2,1.6,3.4,9.1,13.5,52.9
Acer campestre,5.2,1.6,3.4,9.1,16.3,52.9
Fraxinus ornus,6.7,2,4.9,19.2,38,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,35.7,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,38,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,38,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,38,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,40.3,92.59999999999999
Fraxinus ornus,6.7,2,4.9,19.2,38,92.59999999999999
Acer pseudoplatanus,13,3.9,12,113.1,428,519.2
Celtis australis,8,2.4,6,28.3,53.9,33.8
Acer pseudoplatanus,11,3.3,11,95,313.4,524.6
Acer pseudoplatanus,12,3.6,10,78.5,238.4,381.4
Acer pseudoplatanus,14,4.2,10,78.5,384,1193.5
Cupressus sempervirens,9,2.7,1.5,1.8,7,82.3
Cupressus sempervirens,9,2.7,1.5,1.8,5.7,82.2
Aesculus hippocastanum,10,3,8,50.3,186.5,121.5
Cedrus deodara,23,6.9,11,95,413.4,1849.9
Acer negundo,6,1.8,5,19.6,36.5,64.3
Acer pseudoplatanus,17,5.1,7,38.5,163.4,807
Carpinus betulus,10,3,6,28.3,96.2,91.40000000000001
Carpinus betulus,5,1.5,4,12.6,20.1,38.5
Carpinus betulus,10,3,6,28.3,85.09999999999999,91.40000000000001
Carpinus betulus,10,3,6,28.3,86.8,157.1
Acer negundo,16,4.8,9,63.6,262.3,272
Acer pseudoplatanus,8,2.4,6,28.3,59.6,80.7
Acer pseudoplatanus,16,4.8,7,38.5,179.4,563.7
Fraxinus angustifolia,4.5,1.3,1.5,1.8,4.1,9.1
Ginkgo biloba,21,6.3,9,63.6,326.3,680.6
Ligustrum lucidum,12,3.6,6,28.3,78.3,177.3
Ligustrum lucidum,12,3.6,7,38.5,95.7,115.3
Acer negundo,12,3.6,8,50.3,170.4,228.2
Acer negundo,11,3.3,8,50.3,173,447.2
Acer platanoides,6.9,2.1,5.7,25.9,58.7,145.1
Acer platanoides,6.9,2.1,5.7,25.9,66.8,145.1
Acer campestre,5.2,1.6,3.4,9.1,13.5,52.9
Acer campestre,5.2,1.6,3.4,9.1,14.4,52.9
Acer platanoides,6.9,2.1,5.7,25.9,70.90000000000001,145.1
Aesculus hippocastanum,10,3,10,78.5,405.1,874.3
Aesculus hippocastanum,10,3,10,78.5,312,874.3
Acer campestre,3.5,1,2,3.1,5.2,20
Acer campestre,4.5,1.3,5,19.6,27.2,58.6
Acer campestre,5,1.5,5,19.6,27.9,59.6
Acer campestre,5.2,1.6,3.4,9.1,16.3,52.9
Acer campestre,5.2,1.6,3.4,9.1,16.3,52.9
Betula pendula,6,1.8,2.5,4.9,8.4,34
Celtis australis,13,3.9,10,78.5,319.3,94
Cedrus,18.6,5.6,9.300000000000001,67.90000000000001,281.4,3018.4
Aesculus hippocastanum,10,3,8,50.3,265.7,1367.2
Aesculus hippocastanum,6,1.8,3,7.1,16.4,71.09999999999999
Cupressus sempervirens,8,2.4,2,3.1,10.5,176.6
Cupressus sempervirens,8,2.4,2,3.1,8.699999999999999,176.4
Aesculus hippocastanum,8.4,2.5,6.4,32.7,107,487
Aesculus hippocastanum,8.4,2.5,6.4,32.7,107,487
Acer pseudoplatanus,7.6,2.3,4.8,17.8,43.5,161.5
Aesculus hippocastanum,8.4,2.5,6.4,32.7,107,487
Celtis australis,8.300000000000001,2.5,6.7,35.2,102.8,57.6
Celtis australis,8.300000000000001,2.5,6.7,35.2,102.8,57.6
Celtis australis,8.300000000000001,2.5,6.7,35.2,85.09999999999999,57.6
Celtis australis,8.300000000000001,2.5,6.7,35.2,85.09999999999999,57.6
Celtis australis,8.300000000000001,2.5,6.7,35.2,96.90000000000001,57.6
Acer pseudoplatanus,7.6,2.3,4.8,17.8,43.5,161.5
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer campestre,4,1.2,2,3.1,5.1,20.4
Acer campestre,4,1.2,2,3.1,5.8,20.4
Acer campestre,4,1.2,2,3.1,5.8,20.4
Aesculus hippocastanum,11,3.3,8,50.3,200.8,371.2
Aesculus hippocastanum,10,3,8,50.3,240.1,676
Aesculus hippocastanum,11,3.3,8,50.3,210.5,512.2
Aesculus hippocastanum,6,1.8,5,19.6,52.9,141.5
