Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Carbon Storage (kg)
Prunus serrulata,6,1.8,6,28.3,36.4,172.8
Parrotia persica,4,1.2,3,7.1,8.4,25.4
Parrotia persica,7,2.1,5,19.6,42.7,83.40000000000001
Parrotia persica,7,2.1,5,19.6,42.7,83.40000000000001
Parrotia persica,6,1.8,5,19.6,35.9,83.40000000000001
Parrotia persica,6,1.8,4,12.6,21.1,25.4
Parrotia persica,6,1.8,5,19.6,29.3,53.6
Parrotia persica,6,1.8,5,19.6,38,53.6
Parrotia persica,7,2.1,5,19.6,32.9,83.40000000000001
Parrotia persica,6,1.8,4,12.6,21.1,25.4
Parrotia persica,7,2.1,6,28.3,61.7,83.40000000000001
Carpinus betulus,4,1.2,3,7.1,13.9,32.2
Cupressus,14,4.2,1,0.8,4.5,260.1
Cupressus,14,4.2,1,0.8,4.8,260.1
Cupressus,14,4.2,1,0.8,4.8,260.1
Cupressus,14,4.2,1,0.8,4.8,260.1
Cupressus,14,4.2,1,0.8,3.7,260
Cupressus,14,4.2,1,0.8,4,260
Carpinus betulus,4,1.2,3,7.1,12.3,32.2
Carpinus betulus,4.5,1.3,4,12.6,22.4,38.5
Prunus avium,6,1.8,4,12.6,14.4,33.1
Ostrya carpinifolia,10,3,5,19.6,44.8,121.7
Ostrya carpinifolia,10,3,5,19.6,58.6,209.2
Ostrya carpinifolia,6,1.8,4,12.6,20.1,94.3
Ostrya carpinifolia,10,3,5,19.6,58.6,209.2
Celtis australis,6,1.8,6,28.3,43.9,19.6
Celtis australis,6,1.8,6,28.3,57,19.6
Robinia pseudoacacia,15,4.5,12,113.1,408.5,2024.3
Ostrya carpinifolia,9,2.7,6,28.3,68.40000000000001,189.5
Ostrya carpinifolia,6,1.8,4,12.6,21.6,94.3
Robinia pseudoacacia,16,4.8,8,50.3,167.8,1205.3
Celtis australis,6,1.8,6,28.3,115.3,1075.4
Celtis australis,5.5,1.7,5,19.6,34.3,15.6
Celtis australis,6.5,1.9,6,28.3,55,19.6
Betula pendula,8,2.4,4,12.6,24.2,56.8
Betula pendula,13,3.9,7,38.5,97.5,225.8
Betula pendula,9,2.7,5,19.6,35.1,75.90000000000001
