Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,Count
Aesculus hippocastanum,18,732.42,71.09999999999999,11.43,3,0.48,0,0.06,,,23.9,0.12,,0.66,7.9,6,1.8,3,7.1,16.4,1.2,46.07105507764113,11.11916233475261,POINT (11.11916233475261 46.07105507764113),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.37,,,155.2,0.8,,2.68,25.1,8.4,2.5,6.4,32.7,107,7.5,46.07136770752788,11.11868713765569,POINT (11.11868713765569 46.07136770752788),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.37,,,155.2,0.8,,2.68,25.1,8.4,2.5,6.4,32.7,107,7.5,46.06957281471836,11.11613505783967,POINT (11.11613505783967 46.06957281471836),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.37,,,155.2,0.8,,2.68,25.1,8.4,2.5,6.4,32.7,107,7.5,46.03830175657814,11.12394700221103,POINT (11.12394700221103 46.03830175657814),1
Aesculus hippocastanum,35,1846.76,371.2,59.63,8,1.29,0.4,0.7,,,291.3,1.5,,3.48,21.4,11,3.3,8,50.3,200.8,14,46.04977514450152,11.11212852828834,POINT (11.11212852828834 46.04977514450152),1
Aesculus hippocastanum,45,2836.18,676,108.62,11.5,1.85,0.4,0.83,,,348.2,1.79,,4.47,30.7,10,3,8,50.3,240.1,16.8,46.04969114547414,11.11217366983187,POINT (11.11217366983187 46.04969114547414),1
Aesculus hippocastanum,40,2310.55,512.2,82.29000000000001,9.699999999999999,1.56,0.4,0.73,,,305.4,1.57,,3.86,25.9,11,3.3,8,50.3,210.5,14.7,46.04985638282156,11.1122327108779,POINT (11.1122327108779 46.04985638282156),1
Aesculus hippocastanum,24,1044.09,141.5,22.73,4.5,0.72,0.1,0.18,,,76.7,0.39,,1.3,11.9,6,1.8,5,19.6,52.9,3.7,46.04961065094672,11.11222398617207,POINT (11.11222398617207 46.04961065094672),1
Aesculus hippocastanum,44,2726.11,645.2,103.66,11.2,1.8,0.7,1.29,,,539.3,2.77,,5.86,29.8,11,3.3,10,78.5,371.8,26,46.04952830106458,11.11227242192528,POINT (11.11227242192528 46.04952830106458),1
Aesculus hippocastanum,40,2310.55,494.1,79.39,9.5,1.53,1.2,2.27,,,947,4.87,,8.67,25.3,7,2.1,16,201.1,652.8,45.7,46.04937283293457,11.12970267735575,POINT (11.12970267735575 46.04937283293457),1
Aesculus hippocastanum,60,4784.1,1367.2,219.66,17.6,2.83,0.2,0.47,,,196.9,1.01,,4.31,46.9,10,3,6,28.3,135.7,9.5,46.04240032418297,11.13926130763772,POINT (11.13926130763772 46.04240032418297),1
Aesculus hippocastanum,45,2836.18,665,106.85,11.4,1.83,0.2,0.32,,,134.1,0.6899999999999999,,2.84,30.3,8,2.4,6,28.3,92.5,6.5,46.06008533390295,11.1258295652821,POINT (11.1258295652821 46.06008533390295),1
Aesculus hippocastanum,30,1444.81,242.6,38.97,6.2,0.99,0.1,0.2,,,83,0.43,,1.62,16.5,6,1.8,5,19.6,57.2,4,46.08084446555046,11.11437665811116,POINT (11.11437665811116 46.08084446555046),1
Aesculus hippocastanum,30,1444.81,259.2,41.65,6.5,1.04,0.2,0.41,,,169.1,0.87,,2.31,17.2,12,3.6,6,28.3,116.6,8.199999999999999,46.0808899766315,11.11449505919812,POINT (11.11449505919812 46.0808899766315),1
Aesculus hippocastanum,40,2310.55,516.5,82.98,9.800000000000001,1.57,0.4,0.71,,,295,1.52,,3.8,26.1,12,3.6,8,50.3,203.4,14.2,46.06125100355733,11.12471574603132,POINT (11.12471574603132 46.06125100355733),1
Aesculus hippocastanum,28,1301.34,207.8,33.39,5.6,0.91,0.1,0.1,,,41,0.21,,1.21,15,7,2.1,4,12.6,28.3,2,46.06128782897349,11.12467630328318,POINT (11.12467630328318 46.06128782897349),1
Aesculus hippocastanum,42,2513.38,566.7,91.05,10.3,1.66,0.2,0.47,,,197.8,1.02,,3.15,27.5,9,2.7,7,38.5,136.3,9.5,46.06017465242216,11.12590513762298,POINT (11.12590513762298 46.06017465242216),1
Aesculus hippocastanum,40,2310.55,516.5,82.98,9.800000000000001,1.57,0.2,0.42,,,176.4,0.91,,2.9,26.1,12,3.6,6,28.3,121.6,8.5,46.06009077597724,11.12599177242043,POINT (11.12599177242043 46.06009077597724),1
Aesculus hippocastanum,62,5085.88,1482.1,238.12,18.5,2.97,0.8,1.43,,,597.5,3.07,,7.47,49.3,10,3,10,78.5,411.9,28.8,46.06000601021924,11.12598593184603,POINT (11.12598593184603 46.06000601021924),1
Aesculus hippocastanum,50,3423.65,861.1,138.35,13.3,2.14,0.2,0.31,,,129.5,0.67,,3.11,35.5,8,2.4,6,28.3,89.3,6.2,46.06004796986954,11.12594630007452,POINT (11.12594630007452 46.06004796986954),1
Aesculus hippocastanum,35,1846.76,364.1,58.5,7.9,1.27,0.1,0.16,,,65,0.33,,1.76,21.1,9,2.7,4,12.6,44.8,3.1,46.0600900170432,11.12590680089291,POINT (11.12590680089291 46.0600900170432),1
Aesculus hippocastanum,10,267.01,17,2.73,1.3,0.2,0,0.02,,,9.4,0.05,,0.28,3.4,4,1.2,2,3.1,6.5,0.5,46.06013126916415,11.12586649539576,POINT (11.12586649539576 46.06013126916415),1
Aesculus hippocastanum,55,4072.96,1119.1,179.8,15.6,2.51,0.5,0.9,,,376,1.93,,5.34,41.6,12,3.6,8,50.3,259.2,18.1,46.06017420651911,11.12581785079452,POINT (11.12581785079452 46.06017420651911),1
Aesculus hippocastanum,45,2836.18,665,106.85,11.4,1.83,0.1,0.16,,,66.8,0.34,,2.33,30.3,8,2.4,4,12.6,46.1,3.2,46.06025553565814,11.12573266927179,POINT (11.12573266927179 46.06025553565814),1
Aesculus hippocastanum,40,2310.55,516.5,82.98,9.800000000000001,1.57,0.2,0.45,,,187.2,0.96,,2.98,26.1,12,3.6,6,28.3,129,9,46.06029776404874,11.12568826377062,POINT (11.12568826377062 46.06029776404874),1
Aesculus hippocastanum,50,3423.65,887,142.52,13.6,2.18,0.2,0.43,,,179.3,0.92,,3.53,36.1,12,3.6,6,28.3,123.6,8.6,46.06004799830601,11.12587221905037,POINT (11.12587221905037 46.06004799830601),1
Aesculus hippocastanum,60,4784.1,1367.2,219.66,17.6,2.83,0.4,0.71,,,296.8,1.53,,5.07,46.9,10,3,8,50.3,204.6,14.3,46.06000419419365,11.12591423653068,POINT (11.12591423653068 46.06000419419365),1
Aesculus hippocastanum,18,732.42,71.09999999999999,11.43,3,0.48,0,0.06,,,25.3,0.13,,0.67,7.9,6,1.8,3,7.1,17.5,1.2,46.0599642435104,11.1259474810363,POINT (11.1259474810363 46.0599642435104),1
Aesculus hippocastanum,60,4784.1,1384.6,222.45,17.7,2.85,0.4,0.73,,,305.1,1.57,,5.15,47.3,12,3.6,7,38.5,210.3,14.7,46.05988353484915,11.12620244048684,POINT (11.12620244048684 46.05988353484915),1
Aesculus hippocastanum,18,732.42,71.09999999999999,11.43,3,0.48,0,0.05,,,22.4,0.12,,0.65,7.9,6,1.8,3,7.1,15.4,1.1,46.06088457961503,11.12518109190631,POINT (11.12518109190631 46.06088457961503),1
Aesculus hippocastanum,10,267.01,17,2.73,1.3,0.2,0,0.07000000000000001,,,30.9,0.16,,0.44,3.4,4,1.2,4,12.6,21.3,1.5,46.09048683023622,11.10994031921446,POINT (11.10994031921446 46.09048683023622),1
Aesculus hippocastanum,15,609.98,46.2,7.43,2.3,0.37,0,0.05,,,21,0.11,,0.53,6.1,6,1.8,3,7.1,14.5,1,46.06153341824594,11.12449903088156,POINT (11.12449903088156 46.06153341824594),1
Aesculus hippocastanum,40,2310.55,498.7,80.13,9.6,1.54,0.2,0.31,,,128.7,0.66,,2.51,25.5,8,2.4,6,28.3,88.7,6.2,46.06148155297235,11.12455832484403,POINT (11.12455832484403 46.06148155297235),1
Aesculus hippocastanum,30,1444.81,242.6,38.97,6.2,0.99,0.2,0.31,,,128,0.66,,1.96,16.5,6,1.8,6,28.3,88.2,6.2,46.0614438666319,11.12459566610389,POINT (11.12459566610389 46.0614438666319),1
Aesculus hippocastanum,35,1846.76,356.8,57.32,7.8,1.25,0.1,0.22,,,92.40000000000001,0.48,,1.95,20.8,7,2.1,5,19.6,63.7,4.5,46.06135307259251,11.12469134830097,POINT (11.12469134830097 46.06135307259251),1
Aesculus hippocastanum,25,1104.69,160.3,25.76,4.8,0.78,0.1,0.1,,,41.8,0.22,,1.09,12.9,8,2.4,4,12.6,28.8,2,46.06129590073455,11.12475043824535,POINT (11.12475043824535 46.06129590073455),1
Aesculus hippocastanum,60,4784.1,1401.5,225.18,17.9,2.87,0.5,1.03,,,429,2.21,,6.11,47.7,14,4.2,9,63.6,295.7,20.7,46.06123989567116,11.12480970213996,POINT (11.12480970213996 46.06123989567116),1
Aesculus hippocastanum,15,609.98,46.2,7.43,2.3,0.37,0,0.06,,,23.7,0.12,,0.55,6.1,6,1.8,3,7.1,16.4,1.1,46.06117996066034,11.12487217665017,POINT (11.12487217665017 46.06117996066034),1
Aesculus hippocastanum,35,1846.76,360.5,57.91,7.9,1.26,0.2,0.36,,,148.3,0.76,,2.38,21,8,2.4,6,28.3,102.2,7.2,46.06111099895369,11.12494089840481,POINT (11.12494089840481 46.06111099895369),1
Aesculus hippocastanum,30,1444.81,248.3,39.9,6.3,1.01,0.4,0.68,,,282.8,1.45,,3.14,16.7,8,2.4,8,50.3,195,13.6,46.09064252209411,11.11570858561643,POINT (11.11570858561643 46.09064252209411),1
Aesculus hippocastanum,8,170.89,9.699999999999999,1.57,0.9,0.15,0,0.05,,,19.8,0.1,,0.3,2.4,3,0.9,3,7.1,13.6,1,46.09049441249081,11.10997812266885,POINT (11.10997812266885 46.09049441249081),1
Aesculus hippocastanum,18,732.42,73,11.72,3,0.48,0,0.09,,,36.1,0.19,,0.76,8,7.5,2.3,4,12.6,24.9,1.7,46.0427121648724,11.1317554974018,POINT (11.1317554974018 46.0427121648724),1
Aesculus hippocastanum,16,648.3200000000001,55.8,8.970000000000001,2.6,0.41,0,0.09,,,36.1,0.19,,0.6899999999999999,6.9,8,2.4,3.5,9.6,24.9,1.7,46.04269944963647,11.13174234186802,POINT (11.13174234186802 46.04269944963647),1
Aesculus hippocastanum,22,930.3099999999999,124.7,20.03,4.2,0.67,0.1,0.1,,,43.2,0.22,,1,11.1,12,3.6,3.5,9.6,29.8,2.1,46.04352358062886,11.13204857983678,POINT (11.13204857983678 46.04352358062886),1
Aesculus hippocastanum,28,1301.34,210.3,33.79,5.7,0.91,0.2,0.33,,,137.1,0.7,,1.95,15.1,8,2.4,6,28.3,94.5,6.6,46.07127439194876,11.12036670329437,POINT (11.12036670329437 46.07127439194876),1
Aesculus hippocastanum,16,648.3200000000001,53.8,8.65,2.5,0.4,0,0.05,,,22.9,0.12,,0.58,6.7,6,1.8,3,7.1,15.8,1.1,46.06139824748149,11.124561075505,POINT (11.124561075505 46.06139824748149),1
Aesculus hippocastanum,50,3423.65,887,142.52,13.6,2.18,0.4,0.71,,,297,1.53,,4.42,36.1,12,3.6,8,50.3,204.7,14.3,46.06147192567406,11.12448555217704,POINT (11.12448555217704 46.06147192567406),1
Aesculus hippocastanum,40,2310.55,516.5,82.98,9.800000000000001,1.57,0.2,0.37,,,154.9,0.8,,2.74,26.1,12,3.6,6,28.3,106.8,7.5,46.06154758731551,11.12440984617554,POINT (11.12440984617554 46.06154758731551),1
Aesculus hippocastanum,22,930.3099999999999,118.2,18.99,4,0.65,0.2,0.47,,,195.2,1,,2.12,10.7,8,2.4,8,50.3,134.6,9.4,46.06110014739683,11.12487105285891,POINT (11.12487105285891 46.06110014739683),1
Aesculus hippocastanum,30,1444.81,245.5,39.44,6.2,1,0.1,0.13,,,54.5,0.28,,1.41,16.6,7,2.1,4,12.6,37.6,2.6,46.06168594902353,11.1241907044133,POINT (11.1241907044133 46.06168594902353),1
Aesculus hippocastanum,40,2310.55,516.5,82.98,9.800000000000001,1.57,0.2,0.35,,,144.2,0.74,,2.66,26.1,12,3.6,6,28.3,99.40000000000001,7,46.06171981824056,11.12415050113638,POINT (11.12415050113638 46.06171981824056),1
Aesculus hippocastanum,60,4784.1,1384.6,222.45,17.7,2.85,0.5,0.99,,,411.3,2.11,,5.95,47.3,12,3.6,8,50.3,283.5,19.8,46.06165150200167,11.12422325725022,POINT (11.12422325725022 46.06165150200167),1
Aesculus hippocastanum,20,826.42,94.3,15.15,3.5,0.5600000000000001,0.1,0.27,,,114.7,0.59,,1.43,9.4,8,2.4,6,28.3,79.09999999999999,5.5,46.06161455210606,11.12425972206223,POINT (11.12425972206223 46.06161455210606),1
Aesculus hippocastanum,30,1444.81,259.2,41.65,6.5,1.04,0.2,0.41,,,169.1,0.87,,2.31,17.2,12,3.6,6,28.3,116.6,8.199999999999999,46.06157965747175,11.12430182522975,POINT (11.12430182522975 46.06157965747175),1
Aesculus hippocastanum,28,1301.34,210.3,33.79,5.7,0.91,0.1,0.25,,,105.6,0.54,,1.71,15.1,8,2.4,6,28.3,72.8,5.1,46.0615029969436,11.12437801025953,POINT (11.12437801025953 46.0615029969436),1
Aesculus hippocastanum,38,2117.61,444.3,71.39,8.9,1.43,0.4,0.76,,,317.6,1.63,,3.83,23.8,9,2.7,8,50.3,218.9,15.3,46.06143202664475,11.1244531205127,POINT (11.1244531205127 46.06143202664475),1
Aesculus hippocastanum,35,1846.76,360.5,57.91,7.9,1.26,0.1,0.13,,,54.1,0.28,,1.67,21,8,2.4,4,12.6,37.3,2.6,46.06135727399237,11.12452834401848,POINT (11.12452834401848 46.06135727399237),1
Aesculus hippocastanum,40,2310.55,498.7,80.13,9.6,1.54,0.2,0.29,,,119.7,0.62,,2.44,25.5,8,2.4,6,28.3,82.5,5.8,46.06128276604591,11.12460008585699,POINT (11.12460008585699 46.06128276604591),1
Aesculus hippocastanum,35,1846.76,360.5,57.91,7.9,1.26,0.2,0.36,,,148.3,0.76,,2.38,21,8,2.4,6,28.3,102.2,7.2,46.06124320984255,11.12464601769701,POINT (11.12464601769701 46.06124320984255),1
Aesculus hippocastanum,36,1934.57,378.1,60.75,8.1,1.3,0.2,0.31,,,128.7,0.66,,2.27,21.5,6,1.8,6,28.3,88.7,6.2,46.06120661958106,11.12468249576886,POINT (11.12468249576886 46.06120661958106),1
Aesculus hippocastanum,25,1104.69,156.1,25.08,4.7,0.76,0.2,0.29,,,120,0.62,,1.67,12.6,6,1.8,6,28.3,82.7,5.8,46.06116396108175,11.12472585190919,POINT (11.12472585190919 46.06116396108175),1
Aesculus hippocastanum,45,2836.18,670.6,107.74,11.4,1.84,0.4,0.8100000000000001,,,337.1,1.73,,4.38,30.5,9,2.7,8,50.3,232.4,16.3,46.06113147818954,11.12475925523919,POINT (11.12475925523919 46.06113147818954),1
Aesculus hippocastanum,18,732.42,69.90000000000001,11.23,2.9,0.47,0,0.05,,,19.6,0.1,,0.62,7.8,5,1.5,3,7.1,13.5,0.9,46.06109099642356,11.12479687672478,POINT (11.12479687672478 46.06109099642356),1
Aesculus hippocastanum,50,3423.65,861.1,138.35,13.3,2.14,0.2,0.4,,,168.2,0.86,,3.4,35.5,8,2.4,6,28.3,116,8.1,46.06083813518811,11.12506023308024,POINT (11.12506023308024 46.06083813518811),1
Aesculus hippocastanum,30,1444.81,253.9,40.79,6.4,1.02,0.2,0.37,,,154.1,0.79,,2.19,17,10,3,6,28.3,106.2,7.4,46.06075375335568,11.12514504070408,POINT (11.12514504070408 46.06075375335568),1
Aesculus hippocastanum,65,5557.09,1684.9,270.71,20,3.21,0.5,1.01,,,423.1,2.18,,6.4,53.3,12,3.6,8,50.3,291.7,20.4,46.06071256498056,11.12518677180902,POINT (11.12518677180902 46.06071256498056),1
Aesculus hippocastanum,30,1444.81,242.6,38.97,6.2,0.99,0.1,0.12,,,51.3,0.26,,1.38,16.5,6,1.8,4,12.6,35.4,2.5,46.06067150359833,11.12523135209911,POINT (11.12523135209911 46.06067150359833),1
Aesculus hippocastanum,35,1846.76,364.1,58.5,7.9,1.27,0.2,0.33,,,137.5,0.71,,2.31,21.1,9,2.7,6,28.3,94.8,6.6,46.06062902237908,11.12527484350672,POINT (11.12527484350672 46.06062902237908),1
Aesculus hippocastanum,65,5557.09,1684.9,270.71,20,3.21,0.6,1.08,,,450.6,2.32,,6.61,53.3,12,3.6,9,63.6,310.7,21.7,46.06058731594707,11.12531539093334,POINT (11.12531539093334 46.06058731594707),1
Aesculus hippocastanum,32,1598.17,287,46.11,6.8,1.1,0.1,0.25,,,105.6,0.54,,1.9,18.2,7,2.1,6,28.3,72.8,5.1,46.06059378760856,11.12538842930791,POINT (11.12538842930791 46.06059378760856),1
Aesculus hippocastanum,35,1846.76,360.5,57.91,7.9,1.26,0.2,0.31,,,131.3,0.67,,2.25,21,8,2.4,6,28.3,90.5,6.3,46.06067838415575,11.12530660419491,POINT (11.12530660419491 46.06067838415575),1
Aesculus hippocastanum,30,1444.81,245.5,39.44,6.2,1,0.2,0.32,,,134.1,0.6899999999999999,,2.01,16.6,7,2.1,6,28.3,92.40000000000001,6.5,46.06075488258402,11.12521981355818,POINT (11.12521981355818 46.06075488258402),1
Aesculus hippocastanum,65,5557.09,1684.9,270.71,20,3.21,0.3,0.53,,,222.2,1.14,,4.88,53.3,12,3.6,6,28.3,153.2,10.7,46.06079771393267,11.12517685261192,POINT (11.12517685261192 46.06079771393267),1
Aesculus hippocastanum,50,3423.65,887,142.52,13.6,2.18,0.3,0.57,,,236.7,1.22,,3.96,36.1,12,3.6,7,38.5,163.2,11.4,46.06083863831017,11.12513963645475,POINT (11.12513963645475 46.06083863831017),1
Aesculus hippocastanum,18,732.42,78.2,12.56,3.2,0.51,0.1,0.26,,,108.7,0.5600000000000001,,1.33,8.4,12,3.6,6,28.3,75,5.2,46.06088400857062,11.12509082548893,POINT (11.12509082548893 46.06088400857062),1
Aesculus hippocastanum,70,6391.92,2021.6,324.8,22.3,3.58,0.5,1.04,,,434.3,2.23,,6.86,59.5,12,3.6,8,50.3,299.4,20.9,46.06093088857443,11.12504310671285,POINT (11.12504310671285 46.06093088857443),1
Aesculus hippocastanum,30,1444.81,245.5,39.44,6.2,1,0.1,0.28,,,118.7,0.61,,1.9,16.6,7,2.1,6,28.3,81.8,5.7,46.06084526832932,11.12521384483006,POINT (11.12521384483006 46.06084526832932),1
Aesculus hippocastanum,18,732.42,69.90000000000001,11.23,2.9,0.47,0,0.08,,,33.4,0.17,,0.72,7.8,5,1.5,4,12.6,23,1.6,46.06076313970556,11.12529848014288,POINT (11.12529848014288 46.06076313970556),1
Aesculus hippocastanum,30,1444.81,259.2,41.65,6.5,1.04,0.3,0.57,,,238.9,1.23,,2.84,17.2,12,3.6,7,38.5,164.7,11.5,46.06071424005043,11.12534831896008,POINT (11.12534831896008 46.06071424005043),1
Aesculus hippocastanum,60,4784.1,1384.6,222.45,17.7,2.85,0.3,0.52,,,216,1.11,,4.48,47.3,12,3.6,6,28.3,148.9,10.4,46.06067890633865,11.1253849737574,POINT (11.1253849737574 46.06067890633865),1
Aesculus hippocastanum,20,826.42,92.90000000000001,14.92,3.5,0.5600000000000001,0.1,0.23,,,96.2,0.49,,1.28,9.300000000000001,7,2.1,6,28.3,66.3,4.6,46.0605906578422,11.12547441592239,POINT (11.12547441592239 46.0605906578422),1
Aesculus hippocastanum,65,5557.09,1684.9,270.71,20,3.21,0.5,0.9,,,374.5,1.93,,6.03,53.3,12,3.6,8,50.3,258.1,18.1,46.06051227428348,11.12555609130624,POINT (11.12555609130624 46.06051227428348),1
Aesculus hippocastanum,25,1104.69,162.4,26.09,4.9,0.78,0.2,0.29,,,122.1,0.63,,1.7,13,9,2.7,6,28.3,84.2,5.9,46.06042825426577,11.12564078229475,POINT (11.12564078229475 46.06042825426577),1
Aesculus hippocastanum,25,1104.69,156.1,25.08,4.7,0.76,0.2,0.29,,,120,0.62,,1.67,12.6,6,1.8,6,28.3,82.7,5.8,46.06042068805134,11.125563694129,POINT (11.125563694129 46.06042068805134),1
Aesculus hippocastanum,60,4784.1,1358.3,218.24,17.5,2.82,0.2,0.45,,,187.9,0.97,,4.23,46.7,9,2.7,6,28.3,129.5,9.1,46.06050313304434,11.12539917112041,POINT (11.12539917112041 46.06050313304434),1
Aesculus hippocastanum,25,1104.69,156.1,25.08,4.7,0.76,0,0.07000000000000001,,,28.4,0.15,,0.98,12.6,6,1.8,3,7.1,19.6,1.4,46.0603453577405,11.12572797265365,POINT (11.12572797265365 46.0603453577405),1
Aesculus hippocastanum,20,826.42,92.90000000000001,14.92,3.5,0.5600000000000001,0.1,0.23,,,96.2,0.49,,1.28,9.300000000000001,7,2.1,6,28.3,66.3,4.6,46.06026116111785,11.12581731074603,POINT (11.12581731074603 46.06026116111785),1
Aesculus hippocastanum,15,609.98,46.2,7.43,2.3,0.37,0.1,0.1,,,40.2,0.21,,0.67,6.1,6,1.8,4,12.6,27.7,1.9,46.06021398355014,11.12586165538218,POINT (11.12586165538218 46.06021398355014),1
Aesculus hippocastanum,85,9037.68,3262.7,524.2,29.7,4.78,0.9,1.76,,,735.4,3.78,,10.32,79.3,12,3.6,10,78.5,507,35.5,46.05984224414409,11.12624481268113,POINT (11.12624481268113 46.05984224414409),1
Aesculus hippocastanum,40,2310.55,494.1,79.39,9.5,1.53,0.4,0.68,,,285.6,1.47,,3.68,25.3,7,2.1,8,50.3,196.9,13.8,46.05975791678075,11.12632664550809,POINT (11.12632664550809 46.05975791678075),1
Aesculus hippocastanum,80,8086.97,2809.2,451.35,27.2,4.37,0.9,1.73,,,719.8,3.7,,9.789999999999999,72.5,12,3.6,10,78.5,496.2,34.7,46.05971461945764,11.12637527553629,POINT (11.12637527553629 46.05971461945764),1
Aesculus hippocastanum,72,6743.16,2166.7,348.12,23.3,3.74,0.9,1.66,,,693.6,3.57,,8.960000000000001,62,12,3.6,10,78.5,478.1,33.4,46.0596726404288,11.12641594030716,POINT (11.12641594030716 46.0596726404288),1
Aesculus hippocastanum,72,6743.16,2166.7,348.12,23.3,3.74,0.5,0.93,,,388.2,2,,6.66,62,12,3.6,8,50.3,267.6,18.7,46.05963279530721,11.12637096956339,POINT (11.12637096956339 46.05963279530721),1
Aesculus hippocastanum,70,6391.92,2021.6,324.8,22.3,3.58,0.4,0.77,,,322.1,1.66,,6.01,59.5,12,3.6,7,38.5,222.1,15.5,46.05971588757861,11.12628779667741,POINT (11.12628779667741 46.05971588757861),1
Aesculus hippocastanum,60,4784.1,1367.2,219.66,17.6,2.83,0.6,1.21,,,503,2.59,,6.62,46.9,10,3,9,63.6,346.8,24.3,46.05979898460146,11.12620436515354,POINT (11.12620436515354 46.05979898460146),1
Aesculus hippocastanum,30,1444.81,242.6,38.97,6.2,0.99,0,0.06,,,23.3,0.12,,1.17,16.5,6,1.8,3,7.1,16.1,1.1,46.05988316227558,11.12611606194507,POINT (11.12611606194507 46.05988316227558),1
Aesculus hippocastanum,40,2310.55,516.5,82.98,9.800000000000001,1.57,0.2,0.45,,,187.2,0.96,,2.98,26.1,12,3.6,6,28.3,129,9,46.05984282744426,11.12607805397148,POINT (11.12607805397148 46.05984282744426),1
Aesculus hippocastanum,20,826.42,88.40000000000001,14.2,3.4,0.54,0,0.03,,,12.8,0.07000000000000001,,0.64,9,4,1.2,2,3.1,8.800000000000001,0.6,46.05921362098392,11.12679767702472,POINT (11.12679767702472 46.05921362098392),1
Aesculus hippocastanum,80,8086.97,2809.2,451.35,27.2,4.37,0.6,1.09,,,455.3,2.34,,7.8,72.5,12,3.6,8,50.3,313.9,21.9,46.05929677126897,11.12671140474087,POINT (11.12671140474087 46.05929677126897),1
Aesculus hippocastanum,70,6391.92,2021.6,324.8,22.3,3.58,0.7,1.36,,,568.3,2.92,,7.87,59.5,12,3.6,10,78.5,391.8,27.4,46.05938346139205,11.1266283710402,POINT (11.1266283710402 46.05938346139205),1
Aesculus hippocastanum,50,3423.65,874.3,140.47,13.4,2.16,0.3,0.63,,,264.4,1.36,,4.15,35.8,10,3,7,38.5,182.2,12.7,46.05949295063719,11.12659702246874,POINT (11.12659702246874 46.05949295063719),1
Aesculus hippocastanum,70,6391.92,2021.6,324.8,22.3,3.58,0.8,1.55,,,647.2,3.33,,8.460000000000001,59.5,12,3.6,10,78.5,446.2,31.2,46.05944835315563,11.12664779999763,POINT (11.12664779999763 46.05944835315563),1
Aesculus hippocastanum,50,3423.65,887,142.52,13.6,2.18,0.8,1.46,,,609.8,3.14,,6.77,36.1,12,3.6,10,78.5,420.4,29.4,46.05940411686208,11.12669367842612,POINT (11.12669367842612 46.05940411686208),1
Aesculus hippocastanum,80,8086.97,2809.2,451.35,27.2,4.37,0.8,1.53,,,637.1,3.28,,9.17,72.5,12,3.6,10,78.5,439.2,30.7,46.05928396541196,11.12681912556914,POINT (11.12681912556914 46.05928396541196),1
Aesculus hippocastanum,45,2836.18,676,108.62,11.5,1.85,0.1,0.28,,,118.5,0.61,,2.74,30.7,10,3,5,19.6,81.7,5.7,46.05920681510634,11.12689735383346,POINT (11.12689735383346 46.05920681510634),1
Aesculus hippocastanum,10,267.01,16.5,2.65,1.2,0.2,0,0.02,,,8.4,0.04,,0.26,3.3,3,0.9,2,3.1,5.8,0.4,46.09044742796404,11.10962731909745,POINT (11.10962731909745 46.09044742796404),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.37,,,155.2,0.8,,2.68,25.1,8.4,2.5,6.4,32.7,107,7.5,46.08876478034261,11.12037950882075,POINT (11.12037950882075 46.08876478034261),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.45,,,187.5,0.96,,2.93,25.1,8.4,2.5,6.4,32.7,129.2,9,46.08857853193221,11.12037642855517,POINT (11.12037642855517 46.08857853193221),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.35,,,144.4,0.74,,2.6,25.1,8.4,2.5,6.4,32.7,99.5,7,46.08849207919504,11.12039318891726,POINT (11.12039318891726 46.08849207919504),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.35,,,144.4,0.74,,2.6,25.1,8.4,2.5,6.4,32.7,99.5,7,46.08872406092036,11.12059487219593,POINT (11.12059487219593 46.08872406092036),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.37,,,155.2,0.8,,2.68,25.1,8.4,2.5,6.4,32.7,107,7.5,46.08864249974749,11.12061139298241,POINT (11.12061139298241 46.08864249974749),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.45,,,187.5,0.96,,2.93,25.1,8.4,2.5,6.4,32.7,129.2,9,46.08854943750585,11.12063317709556,POINT (11.12063317709556 46.08854943750585),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.45,,,187.5,0.96,,2.93,25.1,8.4,2.5,6.4,32.7,129.2,9,46.08845408999579,11.12065346355879,POINT (11.12065346355879 46.08845408999579),1
Aesculus hippocastanum,39.6,2266.28,487,78.25,9.4,1.51,0.2,0.35,,,144.4,0.74,,2.6,25.1,8.4,2.5,6.4,32.7,99.5,7,46.07126249841617,11.1186175218767,POINT (11.1186175218767 46.07126249841617),1
