Name,DBH (cm),Replacement Value (eur),Carbon Storage (kg),Carbon Storage (eur),Gross Carbon Sequestration (kg/yr),Gross Carbon Sequestration (eur/yr),Avoided Runoff (mcube/yr),Avoided Runoff (eur/yr),Carbon Avoided (kg/yr),Carbon Avoided (eur/yr),Pollution Removal (g/yr),Pollution Removal (eur/yr),Energy Savings (eur/yr),Total Annual Benefits (eur/yr),Oxygen Production (kg/yr),Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2),Leaf Area (m2),Leaf Biomass (kg),Latitude,Longitude,geometry,Count
Celtis australis,15,625.04,17.5,2.81,0.8,0.13,0,0.04,,,16.9,0.09,,0.26,2.2,6,1.8,3,7.1,11.7,0.7,46.03761148913361,11.11401017329149,POINT (11.11401017329149 46.03761148913361),1
Celtis australis,24,1102.56,39.2,6.29,1.1,0.18,0.2,0.39,,,162.4,0.83,,1.41,3,8,2.4,8,50.3,112,6.6,46.09799087893646,11.11961966394681,POINT (11.11961966394681 46.09799087893646),1
Celtis australis,19,810.0599999999999,26.3,4.22,1,0.15,0.1,0.22,,,92.09999999999999,0.47,,0.85,2.6,7,2.1,6,28.3,63.5,3.7,46.12011109724013,11.09420391876847,POINT (11.09420391876847 46.12011109724013),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.11,,,45.3,0.23,,0.47,2.1,6,1.8,5,19.6,31.2,1.8,46.11873763267818,11.09762408829114,POINT (11.09762408829114 46.11873763267818),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.1,,,42.3,0.22,,0.44,2.1,6,1.8,5,19.6,29.2,1.7,46.11872047070659,11.09774017849164,POINT (11.09774017849164 46.11872047070659),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.12,,,51.1,0.26,,0.51,2.1,6,1.8,5,19.6,35.3,2.1,46.11854438622372,11.0983597810336,POINT (11.0983597810336 46.11854438622372),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,15.5,0.08,,0.24,2.1,5,1.5,3,7.1,10.7,0.6,46.11855878107507,11.0982571759422,POINT (11.0982571759422 46.11855878107507),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,15.5,0.08,,0.24,2.1,5,1.5,3,7.1,10.7,0.6,46.11857202322556,11.09815362105148,POINT (11.09815362105148 46.11857202322556),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,17.5,0.09,,0.26,2.1,5,1.5,3,7.1,12,0.7,46.11853020949216,11.09845540540745,POINT (11.09845540540745 46.11853020949216),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,15.5,0.08,,0.24,2.1,5,1.5,3,7.1,10.7,0.6,46.11842725088252,11.09917044963411,POINT (11.09917044963411 46.11842725088252),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.04,,,17.5,0.09,,0.26,2.1,5,1.5,3,7.1,12,0.7,46.11845800717584,11.09957348208655,POINT (11.09957348208655 46.11845800717584),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.11,,,45.3,0.23,,0.47,2.1,6,1.8,5,19.6,31.2,1.8,46.11844528312794,11.09966346651425,POINT (11.09966346651425 46.11844528312794),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0.1,0.1,,,42.3,0.22,,0.44,2.1,6,1.8,5,19.6,29.2,1.7,46.11841147651267,11.0992893093462,POINT (11.0992893093462 46.11841147651267),1
Celtis australis,14,585.59,15.6,2.5,0.8,0.12,0,0.03,,,14.5,0.07000000000000001,,0.23,2.1,5,1.5,3,7.1,10,0.6,46.11836757905132,11.09962595743827,POINT (11.09962595743827 46.11836757905132),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.02,,,9.300000000000001,0.05,,0.17,1.7,5,1.5,2.5,4.9,6.4,0.4,46.11835390526459,11.09972354166579,POINT (11.09972354166579 46.11835390526459),1
Celtis australis,11,483.55,10.3,1.65,0.7,0.1,0,0.03,,,11.4,0.06,,0.19,1.7,5,1.5,2.5,4.9,7.8,0.5,46.1183402951904,11.09982255193631,POINT (11.09982255193631 46.1183402951904),1
